# Program:featureCounts v1.6.2; Command:"featureCounts" "-p" "-t" "exon" "-T" "2" "-g" "gene_id" "-a" "ref-data/gencode.v35.annotation.gtf" "-o" "output/COAD/counts/expression/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6.txt" "data/bam/COAD/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6/b8f29ff7-6db3-4188-97ac-8dc559923ca1_gdc_realn_rehead.bam" 
Geneid	Chr	Start	End	Strand	Length	data/bam/COAD/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6/b8f29ff7-6db3-4188-97ac-8dc559923ca1_gdc_realn_rehead.bam
ENSG00000286448.1	chr1;chr1	266855;268122	267056;268655	+;+	736	2
ENSG00000229344.1	chr1	632757	633438	+	682	121
ENSG00000008128.23	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1702379;1702730;1702766;1702881;1702881;1702881;1702881;1702881;1702881;1702881;1703080;1703080;1703080;1703080;1703080;1703080;1703080;1703080;1703080;1703080;1703088;1703088;1703476;1703476;1703476;1703476;1703476;1703476;1703476;1703476;1703476;1703476;1703476;1703604;1703824;1703824;1703824;1703824;1703824;1703824;1703824;1703824;1703824;1703824;1703824;1703868;1704039;1704039;1704039;1704039;1704039;1704039;1704039;1704039;1704039;1704039;1704039;1704039;1704049;1704099;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704223;1704243;1704350;1704550;1704550;1704550;1704550;1704550;1704550;1704550;1704550;1704550;1704550;1704550;1704550;1704608;1704904;1704904;1704904;1704904;1704904;1704904;1704904;1704904;1704904;1704904;1705642;1705642;1705642;1705642;1705642;1705642;1705642;1705642;1705642;1705642;1705642;1705642;1707409;1707409;1707409;1707409;1707409;1707409;1707409;1707409;1707409;1707525;1707525;1707525;1708180;1708180;1708180;1708180;1708180;1708180;1708180;1708180;1708180;1708180;1708180;1708794;1708794;1708794;1708794;1708794;1708794;1708794;1708794;1708794;1708794;1709038;1709038;1709038;1709038;1709038;1709038;1709038;1709038;1709038;1709479;1709479;1709518;1709518;1709518;1709518;1709518;1709518;1709518;1712264;1712264;1712264;1712264;1712264;1712264;1712264;1712264;1712264;1716346;1716346;1716346;1716346;1716346;1716346;1716346;1716346;1716346;1716350;1719166;1719328;1719328;1719328;1719328;1719328;1719358;1719358;1719358;1719358;1719358;1721596;1721596;1721596;1721596;1721596;1721596;1721596;1721596;1721596;1721596;1721596;1722466;1722588;1722588;1722708;1722708;1722708;1722708;1722708;1722708;1722708;1722708;1722708;1723800;1723949;1723949;1724258;1724258;1724258;1724258;1724258	1702999;1702999;1702999;1702999;1702999;1702999;1702999;1702999;1702999;1702999;1703269;1703269;1703269;1703269;1703269;1703269;1703269;1703269;1703269;1703269;1703269;1703940;1703624;1703624;1703624;1703624;1703624;1703624;1703624;1703624;1703940;1703624;1703624;1703624;1703940;1703995;1703940;1703940;1703940;1703940;1703940;1703940;1703940;1703940;1703940;1703995;1704146;1704116;1704146;1704146;1704146;1704146;1704146;1704146;1704344;1704146;1704146;1704146;1704146;1704146;1704344;1704655;1704344;1704602;1704555;1704344;1704344;1704344;1704344;1704344;1704344;1704253;1704344;1704344;1704344;1705025;1705024;1704760;1704585;1704655;1704655;1704655;1704655;1704655;1704655;1704655;1704655;1704655;1705025;1705025;1705025;1705025;1705025;1705025;1705025;1705025;1705025;1705025;1705025;1705732;1705732;1705732;1705732;1705732;1705732;1705732;1705732;1705732;1705732;1705732;1705732;1707599;1707561;1707584;1707584;1707584;1707584;1707584;1707584;1707584;1707584;1707584;1707584;1708231;1708245;1708245;1708245;1708245;1708245;1708245;1708245;1708245;1708245;1708245;1708876;1708952;1708952;1708952;1708952;1708952;1708952;1708952;1708952;1708952;1709133;1709133;1709133;1709133;1709133;1709133;1709133;1709133;1709133;1709640;1709640;1709640;1709640;1709640;1709640;1709640;1709640;1709640;1712400;1712400;1712427;1712400;1712400;1712400;1712427;1712400;1712400;1716478;1716478;1716478;1716478;1716478;1716478;1716478;1716478;1716478;1716478;1719455;1719455;1719455;1719455;1719455;1719455;1719455;1719455;1719455;1719455;1719455;1721879;1721711;1721711;1721711;1721711;1721711;1721711;1721711;1721655;1721711;1721711;1722831;1722634;1722831;1722831;1722831;1722831;1722831;1722831;1722831;1722832;1722831;1722831;1724032;1724019;1724274;1724324;1724324;1724324;1724324;1724357	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5085	131
ENSG00000215790.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1724838;1724840;1727386;1731828;1732242;1734690;1734690;1734690;1734690;1734690;1734690;1735204;1738321;1738321;1738321;1738321;1738321;1738922;1738922;1738922;1738922;1738922;1739236;1739236;1739236;1739236;1739236;1744251;1744251;1745724;1745724;1745724;1745724	1725422;1725422;1732523;1732523;1732523;1734835;1734835;1734835;1734835;1734835;1734835;1735620;1738448;1738448;1738448;1738448;1738448;1739057;1739057;1739057;1739057;1739057;1739557;1739704;1739704;1739704;1739704;1744668;1744668;1745992;1745999;1745999;1745919	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7713	134
ENSG00000224387.1	chr1;chr1	2492300;2493101	2492596;2493258	-;-	455	0
ENSG00000078900.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3652516;3652520;3652565;3652565;3652565;3682333;3682333;3682333;3682333;3682333;3682366;3682366;3683060;3683060;3683060;3683060;3683060;3683060;3683060;3690672;3690672;3690672;3690707;3698046;3698058;3707549;3707549;3707549;3707549;3707549;3707549;3707549;3707549;3707549;3707549;3707549;3707549;3707549;3722021;3722021;3722021;3722021;3722021;3722021;3722021;3722021;3722021;3722021;3722021;3722021;3723354;3723354;3723354;3723354;3723354;3723354;3723354;3723354;3723354;3723354;3723354;3723354;3727115;3727115;3727115;3727115;3727115;3727115;3727115;3727115;3727115;3727115;3727115;3727115;3727478;3727628;3727628;3727628;3727628;3727628;3727628;3727628;3727628;3727628;3727628;3727628;3727628;3728129;3728129;3728129;3728129;3728129;3728129;3728129;3728129;3728129;3728129;3728129;3728129;3728129;3729327;3729327;3729327;3729327;3729327;3729327;3729327;3729327;3729327;3729327;3729327;3729327;3729327;3730000;3730000;3730000;3730000;3730000;3730927;3730927;3730927;3730927;3730927;3730927;3730927;3730927;3730927;3731463;3731463;3731463;3731463;3731463;3731463;3731463;3732747;3732747;3732747;3732747;3732747;3732747;3732747;3732747;3732747;3732747;3732747;3732747	3652641;3652641;3652641;3652641;3652641;3682430;3682430;3682430;3682430;3682430;3682430;3682430;3683180;3683180;3683180;3683180;3683180;3683180;3683180;3690944;3690944;3690944;3690944;3698151;3698151;3708534;3707791;3707791;3707791;3707791;3707791;3707791;3707791;3707791;3707791;3707791;3707791;3707791;3722207;3722207;3722207;3722207;3722207;3722207;3722207;3722207;3722207;3722207;3722207;3722207;3723469;3723469;3723469;3723469;3723469;3723469;3723469;3723469;3723469;3723469;3723469;3723469;3727224;3727224;3727224;3727224;3727224;3727224;3727224;3727224;3727224;3727224;3727224;3727224;3727770;3727770;3727770;3727770;3727770;3727770;3727770;3727770;3727770;3727770;3727770;3727770;3727770;3728217;3728217;3728217;3728217;3728217;3728217;3728217;3728217;3728217;3728217;3728217;3728217;3728217;3729448;3729448;3729751;3729448;3729448;3729448;3729448;3729448;3729448;3729448;3729448;3729448;3729448;3730148;3730148;3730148;3730148;3730148;3731065;3731065;3731065;3731065;3731065;3731065;3731065;3731065;3731065;3731556;3731556;3731556;3731556;3731556;3731556;3731556;3733091;3733367;3736201;3733292;3733292;3733079;3733079;3736200;3736200;3733292;3736201;3736201	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6767	45
ENSG00000284694.1	chr1;chr1	4479131;4484194	4482350;4484375	-;-	3402	0
ENSG00000284666.1	chr1;chr1	5480787;5481956	5481322;5482028	-;-	609	0
ENSG00000131697.18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5862811;5862811;5862811;5862811;5862813;5863265;5863890;5863890;5863890;5863890;5864338;5864338;5864338;5864338;5864338;5865102;5865102;5865102;5865102;5866373;5866373;5866373;5866373;5867030;5867030;5867030;5867030;5867030;5867030;5867082;5867740;5867740;5867740;5867740;5867740;5867740;5873252;5873252;5873252;5873252;5873252;5874471;5874471;5874471;5874471;5874874;5874874;5874874;5874874;5874905;5875954;5876386;5876879;5877093;5877093;5877093;5877093;5877093;5879346;5879505;5880114;5880114;5880114;5880114;5880114;5880114;5886495;5887286;5887286;5887286;5887286;5887286;5887286;5888460;5890868;5890868;5890868;5890868;5890868;5890868;5904617;5904617;5904617;5904617;5904617;5904617;5905292;5905292;5905292;5905292;5905292;5905292;5905632;5905632;5905632;5905632;5905632;5907115;5907115;5907115;5909152;5909152;5909152;5927649;5927649;5927649;5927649;5927649;5933147;5933147;5933147;5933147;5933147;5947104;5947104;5947104;5947104;5947104;5948070;5948070;5948070;5948070;5948070;5952700;5952700;5952700;5952700;5961794;5961794;5961794;5961794;5961794;5967299;5967299;5967299;5967299;5967299;5969087;5969087;5969087;5969087;5969087;5978270;5978270;5978270;5978270;5986155;5986155;5986155;5986155;5992244;5992244;5992244;5992244;5992244	5863405;5863405;5866458;5864033;5863405;5863405;5864033;5864033;5864033;5864033;5864517;5864517;5864517;5864517;5866458;5865273;5865273;5865273;5865273;5866458;5866458;5866458;5866458;5867115;5867115;5867115;5867115;5867652;5867115;5867115;5867896;5867896;5867896;5867896;5867896;5868375;5873841;5873335;5873335;5873335;5873335;5874657;5874657;5874657;5874657;5875100;5875100;5875100;5875100;5875100;5876078;5876523;5877298;5877466;5877298;5877298;5877298;5877298;5879632;5879632;5880239;5882849;5880239;5880239;5880239;5880239;5886972;5887466;5887466;5887466;5887466;5887466;5887466;5888610;5891028;5891028;5891028;5891028;5891028;5891028;5904804;5904804;5904804;5904804;5904804;5904804;5905324;5905483;5905483;5905483;5905483;5905483;5905780;5905780;5905780;5905783;5905783;5907222;5907222;5907222;5909213;5909213;5909213;5927787;5927787;5927787;5927787;5927787;5933329;5933329;5933329;5933329;5933329;5947230;5947230;5947230;5947230;5947230;5948251;5948251;5948251;5948251;5948251;5952836;5952836;5952836;5952836;5961949;5961949;5961949;5961949;5961949;5967363;5967363;5967363;5967363;5967363;5969259;5969259;5969259;5969259;5969259;5978413;5978413;5978413;5978413;5986327;5986327;5986327;5986327;5992473;5992447;5992473;5992425;5992424	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	13167	350
ENSG00000215788.11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6460786;6460786;6461151;6461151;6461151;6461151;6461151;6461204;6461434;6461434;6461434;6461434;6461434;6461434;6461480;6461756;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6461994;6462319;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462629;6462637;6462863;6462863;6462863;6462863;6462863;6462863;6462863;6462863;6462863;6462863;6462863;6462863;6463065;6463072;6463072;6463072;6463072;6463072;6463072;6463536;6464111;6464375;6464375;6464375;6464375;6464375;6464375;6464375;6464375;6464375;6464375;6464375;6464375;6464375;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464552;6464567;6465088;6465088;6465088;6465088;6465088;6465088;6465088;6465088;6465088;6465088;6465088;6465088;6465088;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6465440;6466069;6466069;6466069;6466069;6466069;6466069;6466069;6466069;6466069;6466069;6466069;6466069;6466069	6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6461762;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462174;6462607;6462666;6462663;6462666;6462663;6462666;6462663;6462663;6462663;6462666;6462666;6462666;6462666;6462666;6462666;6462663;6462663;6462970;6462956;6462970;6463347;6462970;6462970;6463127;6463147;6464719;6463622;6462970;6462970;6463147;6463127;6463127;6463127;6463127;6463127;6463127;6463560;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464453;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6464719;6465222;6465222;6465222;6465272;6465222;6465222;6465222;6465222;6465222;6465222;6465222;6465222;6465222;6465560;6465858;6465560;6465630;6465560;6465560;6465560;6465560;6465560;6465560;6465560;6465560;6465560;6465560;6466099;6465560;6465470;6466099;6466107;6466107;6466107;6466107;6466107;6466107;6466107;6466175;6466175;6466175;6466175;6466173	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4263	511
